,Company_Name,Industry,Department,Location,Skills,ClusterLabel
37,state street corporation,bank financial service,finance account tax,bangalore,ms project communication skills client report project management asset management global team regulatory report key metrics statements of work sow,OperationalMgmtSW
46,state street corporation,bank financial service,general other software,bangalore,customer relations insurance quality sales mis large scale systems big data data structure problem solve computer science high availability project administration sql aws set java linux cloud azure python,OperationalMgmtSW
58,ernst   young,bank financial service,operations management process analysis,bangalore,customer relations insurance quality sales mis strong analytical skills identify new opportunities data analysis due diligence company act high pressure risk management statutory audit service delivery corporate finance,OperationalMgmtSW
59,ernst   young,bank financial service,operations management process analysis,bangalore,adobe experience manager power bi music make web analytics business rule text analytics data management data structure data extraction machine learn social listen digital market report systems,OperationalMgmtSW
61,jpmorgan,bank financial service,risk underwrite,bangalore,environmental impact assessment data mine data quality risk analytics data management data governance loss mitigation data warehouse machine learn,OperationalMgmtSW
63,ernst   young,bank financial service,operations management process analysis,bangalore,sql java customer relations sap documentation raspberry pi data extraction process control plant automation leadership skills advisory service software solutions behavioral train industrial automation,OperationalMgmtSW
68,ernst   young,bank financial service,operations management process analysis,bangalore,finance function change management management skills network skills project management strategic plan financial management interpersonal skills relationship build financial justification,OperationalMgmtSW
69,ernst   young,bank financial service,operations management process analysis,bangalore,customer relations insurance quality sales mis ms office tool power bi ms office social media time management equipment supply change management management skills knowledge share interpersonal skills,OperationalMgmtSW
72,state street corporation,bank financial service,finance account tax,bangalore,account balance sheet analysis new concepts balance sheet business units risk management data acquisition financial service verbal communication compatibility test net alm irr qrm risk,OperationalMgmtSW
74,jpmorgan,bank financial service,sales bd,bangalore,sales customer relations sla quality coach front office fix income money market high pressure risk analytics data management computer science trade process issue resolution external clients sales market,OperationalMgmtSW
76,jpmorgan,bank financial service,operations management process analysis,bangalore,report middle office sales high level of accuracy strong communication skills quality business finance back office customer service analytical skills customer relations audit trail audit standards product knowledge,OperationalMgmtSW
77,jpmorgan,bank financial service,statistics analytics,bangalore,data mine fix income money market value creation computer science asset management data preparation mission critical wealth management leadership skills regulatory issue statements of work sow,OperationalMgmtSW
78,jpmorgan,bank financial service,operations management process analysis,bangalore,due diligence kyc aml bank risk item response theory front office train need quality control time management information flow hold company communication skills relationship build,OperationalMgmtSW
79,jpmorgan,bank financial service,sales bd,bangalore,delivery project management customer relations report java root cause analysis back office operations strong communication skills root cause back office,OperationalMgmtSW
87,jpmorgan,bank financial service,sales bd,bangalore,field work music make cloud security risk management technology risk risk frameworks large enterprise senior management security control supplier assurance creative solutions,OperationalMgmtSW
90,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,data center wealth management operate systems techno functional investment bank financial service systems management technology service,OperationalMgmtSW
102,ernst   young,bank financial service,general other software,bangalore,identify new opportunities data analysis due diligence company act high pressure risk management service delivery corporate finance analytical skills advisory service indian account,OperationalMgmtSW
104,ernst   young,bank financial service,sales bd,bangalore,people management skills role model tax return music make service delivery management style people management management skills adaptive management,OperationalMgmtSW
107,jpmorgan,bank financial service,operations management process analysis,bangalore,ms office risk analysis team management problem solve operational risk process analysis wealth management financial service record management process engineer knowledge management,OperationalMgmtSW
113,jpmorgan,bank financial service,finance account tax,bangalore,cash flow analysis credit risk analysis build strong relationships strong communication skills strong interpersonal skills cash flow credit risk risk analysis quality check middle market ratio analysis credit analysis,OperationalMgmtSW
114,jpmorgan,bank financial service,hr,bangalore,life cycle market data data integrity time management senior management management skills project management affirmative action behavioral train presentation skills verbal communication,OperationalMgmtSW
115,jpmorgan,bank financial service,general other software,bangalore,center of excellence data process test procedures computer science business analysis corporate finance automation test external report corrective action information systems verbal communication,OperationalMgmtSW
117,ernst   young,bank financial service,finance account tax,bangalore,data migration tax account quality control service quality microsoft office leave management work effectively people management corrective action payroll process database integrity,OperationalMgmtSW
118,jpmorgan,bank financial service,general other software,bangalore,java sql unit test environment report subject matter expertise sap erp ms office data management problem solve account payable customer service,OperationalMgmtSW
168,hdfc bank ltd ,bank financial service,sales bd,ahmedabad,management train program npa management time management yard management train program process management inventory management personal development receivable management,OperationalMgmtSW
201,state street corporation,bank financial service,statistics analytics,bangalore,business requirements ms excel pivot table subject matter experts data quality new concepts key management data validation financial market financial report regulatory report financial justification advance excel excel pivot,OperationalMgmtSW
203,standard chartered bank ltd,bank financial service,general other software,bangalore,master data project team reference data data management problem solve regulatory risk project delivery project execution project management investment bank financial service project performance,OperationalMgmtSW
204,standard chartered bank ltd,bank financial service,sales bd,bangalore,sales customer relations sla quality coach service quality management business continuity plan life cycle system design service level service quality operational risk service recovery external clients service standards,OperationalMgmtSW
207,standard chartered bank ltd,bank financial service,statistics analytics,bangalore,customer relations documentation requirements functional business requirements life cycle master data user stories reference data product control problem solve project delivery business analysis change management,OperationalMgmtSW
208,jpmorgan,bank financial service,operations management process analysis,bangalore,appliances cms hybris j2ee project management financial service program management communication skills set arena history robotics management automation leadership innovation communication project management office hmc,OperationalMgmtSW
215,state street corporation,bank financial service,finance account tax,bangalore,business units it development data collection analytical skills project management financial service business requirements technology development business administration statements of work sow,OperationalMgmtSW
219,jpmorgan,bank financial service,statistics analytics,bangalore,sales soft skills customer relations design coach center of excellence business process management ms office fix income money market adobe connect data analytics service design business process,OperationalMgmtSW
220,jpmorgan,bank financial service,general other software,bangalore,data integrity report tool time management consumer bank senior management variance analysis management skills financial result business report financial report business management,OperationalMgmtSW
230,riverforest connections private limited,bank financial service,sales bd,mumbai city,data entry problem solve time management management system presentation skills client service fraud finra finance business coach economics management operations compliance analytical onboarding structure maintenance statements of work sow,OperationalMgmtSW
232,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,mumbai city,core java market data front office fix income unit test new business data analysis design pattern capital market support service wealth management techno functional investment bank financial service,OperationalMgmtSW
234,pride technologies consulting india pvt ltd,bank financial service,general other software,mumbai city,front office middle office trade support client bill management system incident management system implementation regulatory requirements financial justification quantitative management it go cash risk excel fraud macro agency bank payroll,OperationalMgmtSW
235,pride technologies consulting india pvt ltd,bank financial service,general other software,mumbai city,fix income derivatives life cycle market data static data team spirit control plan client focus trade support equity indices problem solve operational risk financial market market operations convertible bond financial justification quantitative management it go stp set,OperationalMgmtSW
237,riverforest connections private limited,bank financial service,general other software,mumbai city,finance sales ltd mis accountancy big data etl tool life cycle data structure communication skills stakeholder management interpersonal communication sql etl set sound hadoop pentaho analysis management,OperationalMgmtSW
238,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,mumbai city,java mysql jsp hibernate spring core java front office event drive reference data fund account data management work effectively mission critical wealth management,OperationalMgmtSW
243,jpmorgan,bank financial service,risk underwrite,mumbai city,business decision make credit risk market risk front office risk control trade desk stress test risk management model validation capital adequacy model development performance test,OperationalMgmtSW
248,morgan stanley advantage services pvt  ltd ,bank financial service,quality qa qc,mumbai city,fix income trade system capital market computer science support service wealth management analytical skills techno functional product knowledge,OperationalMgmtSW
249,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,mumbai city,server side problem solve wealth management analytical skills investment bank financial service investment management business requirements automate test sql art set j2se junit design devops spring wealth,OperationalMgmtSW
250,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,japan  mumbai city,core java web server market data web service data model problem solve client report project delivery wealth management branch management linux development,OperationalMgmtSW
253,jpmorgan,bank financial service,market research mr,mumbai city,project management automation cost control delivery ltd market risk time series data quality music make risk analytics model development anomaly detection product knowledge quantitative management,OperationalMgmtSW
254,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,mumbai city,technical subject matter object orient program data analysis data service private cloud value analysis shell script os installation capital market computer science client report wealth management,OperationalMgmtSW
255,jpmorgan,bank financial service,general other software,mumbai city,business decision make power bi risk control trade desk music make deep learn stress test risk management machine learn model validation capital adequacy model development,OperationalMgmtSW
257,morgan stanley advantage services pvt  ltd ,bank financial service,risk underwrite,japan  mumbai city,big data analytics environmental impact assessment big data ms office market risk sql query data analytics risk analytics risk management problem solve,OperationalMgmtSW
276,ernst   young,bank financial service,risk underwrite,mumbai city,sap customer relations delivery sales sql standard operate procedures red flag public sector internal audit data analytics risk management problem solve,OperationalMgmtSW
277,ernst   young,bank financial service,finance account tax,mumbai city,identify new opportunities data analysis due diligence company act high pressure risk management service delivery corporate finance analytical skills,OperationalMgmtSW
280,jpmorgan,bank financial service,risk underwrite,mumbai city,big data business bank business acumen bank products fraud management strong analytical skills computer science stress test machine learn,OperationalMgmtSW
281,ernst   young,bank financial service,finance account tax,mumbai city,standard operate procedures red flag public sector internal audit data analytics risk management problem solve enterprise risk leadership skills advisory service knowledge share,OperationalMgmtSW
282,ernst   young,bank financial service,sales bd,mumbai city,advisory service project management financial analysis behavioral train communication skills write communication relationship development client service,OperationalMgmtSW
285,ernst   young,bank financial service,finance account tax,mumbai city,us gaap fix assets new business core finance service level tax account risk management problem solve business growth leadership skills advisory service process automation,OperationalMgmtSW
288,ernst   young,bank financial service,sales bd,mumbai city,sap customer relations delivery sales sql data mine data analytics machine learn linear regression leadership skills advisory service behavioral train business development,OperationalMgmtSW
291,ernst   young,bank financial service,sbu head ceo director,mumbai city,user acceptance test power bi post sales user acceptance leadership skills advisory service business solutions acceptance test behavioral train business development management consult,OperationalMgmtSW
293,ernst   young,bank financial service,operations management process analysis,mumbai city,sales market business development management account transaction advisory service role model supply chain private equity risk management venture capital finance function advise clients advisory service,OperationalMgmtSW
295,ernst   young,bank financial service,operations management process analysis,mumbai city,sap customer relations delivery sales sql raspberry pi data extraction process control plant automation leadership skills advisory service product knowledge software solutions think leadership behavioral train,OperationalMgmtSW
296,ernst   young,bank financial service,operations management process analysis,mumbai city,customer relations insurance quality sales mis identify new opportunities data analysis due diligence company act high pressure risk management service delivery corporate finance analytical skills advisory service,OperationalMgmtSW
298,ernst   young,bank financial service,operations management process analysis,mumbai city,identify new opportunities data analysis due diligence company act high pressure risk management service delivery corporate finance analytical skills advisory service indian account knowledge share,OperationalMgmtSW
302,vibrantzz management services,bank financial service,customer service international,mumbai city,customer service global customer service international bpo inbound call international support communication skills global service management,OperationalMgmtSW
310,jpmorgan,bank financial service,sales bd,mumbai city,big data sql query new concepts machine learn internet bank corporate bank agile development financial service payment process,OperationalMgmtSW
313,jpmorgan,bank financial service,general other software,mumbai city,market sales business development management finance big data data domain text mine data model business case win team trend analysis small business user scenarios,OperationalMgmtSW
317,jpmorgan,bank financial service,investment bank m a,mumbai city,administration strong interpersonal skills ms office us equities fix income data analysis private equity cash management time management asset management,OperationalMgmtSW
320,jpmorgan,bank financial service,operations management process analysis,mumbai city,delivery project management customer relations report java interest rate swap cost benefit analysis cost benefit equity swap process control time management work effectively business analysis,OperationalMgmtSW
322,jpmorgan,bank financial service,statistics analytics,mumbai city,due diligence microsoft word asset management wealth management manager selection investment bank financial service commercial bank client satisfaction investment products,OperationalMgmtSW
323,jpmorgan,bank financial service,operations management process analysis,mumbai city,teach surgery theatre pts administration strong interpersonal skills ms office data analysis time management asset management automation tool analytical skills people management management skills client acquisition,OperationalMgmtSW
326,morgan stanley advantage services pvt  ltd ,bank financial service,sales bd,japan  mumbai city,risk reduction operational risk senior management wealth management investment bank financial service process management people development trade operations securities lend,OperationalMgmtSW
327,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,mumbai city,javascript css jquery html mysql high quality standards data model middle office risk management problem solve risk governance wealth management statements of work sow,OperationalMgmtSW
328,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,mumbai city,credit risk market risk unit test data model liquidity risk risk management problem solve operational risk user interaction wealth management commercial model statements of work sow,OperationalMgmtSW
331,jpmorgan,bank financial service,sales bd,mumbai city,data mine fix income money market value creation computer science asset management data preparation wealth management leadership skills regulatory issue,OperationalMgmtSW
334,morgan stanley advantage services pvt  ltd ,bank financial service,risk underwrite,mumbai city,market risk financial risk risk governance financial market communication skills write communication compatibility test regulatory requirements,OperationalMgmtSW
336,morgan stanley advantage services pvt  ltd ,bank financial service,sbu head ceo director,mumbai city,strong analytical skills operational risk management strong communication skills environmental impact assessment root cause risk management data management share service risk mitigation line management operational risk,OperationalMgmtSW
337,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,mumbai city,market data fix income unit test new business data analysis design pattern capital market computer science support service wealth management techno functional investment bank financial service,OperationalMgmtSW
349,ernst   young,bank financial service,finance account tax,mumbai city,standard operate procedures qualify charter accountant internal audit data analytics risk management problem solve enterprise risk leadership skills advisory service knowledge share audit standards,OperationalMgmtSW
351,jpmorgan,bank financial service,sales bd,mumbai city,center of excellence wealth management service strong interpersonal skills power bi front end data mine mutual fund fix income data quality global sales data analysis,OperationalMgmtSW
352,jpmorgan,bank financial service,hr,mumbai city,customer focus time management client service process train team performance analytical skills management skills process improvement presentation skills,OperationalMgmtSW
353,jpmorgan,bank financial service,operations management process analysis,mumbai city,user acceptance test test case market risk fix income money market new business middle office reference data project support user acceptance analytical skills global operations global investment,OperationalMgmtSW
356,ernst   young,bank financial service,operations management process analysis,mumbai city,sap customer relations delivery sales sql strong interpersonal skills life cycle service tax tax advisory time management impact analysis help clients client management leadership skills advisory service central excise,OperationalMgmtSW
365,jpmorgan,bank financial service,statistics analytics,mumbai city,back office market data front office process flow music make middle office risk management oral communication vba risk finance trade control analysis economics management process reengineering,OperationalMgmtSW
366,jpmorgan,bank financial service,finance account tax,mumbai city,fx trade gap analysis client money risk systems music make mis report problem solve process control event management business strategy,OperationalMgmtSW
368,jpmorgan,bank financial service,risk underwrite,mumbai city,market risk management market risk new project risk analysis risk management scenario analysis academic background regulatory report,OperationalMgmtSW
369,jpmorgan,bank financial service,sbu head ceo director,mumbai city,project management automation cost control delivery ltd ms office root cause back office front office global team middle office daily report drive result,OperationalMgmtSW
371,ernst   young,bank financial service,operations management process analysis,mumbai city,sap customer relations delivery sales sql risk management framework audit report quality audit risk management leadership skills advisory service knowledge share project management behavioral train,OperationalMgmtSW
372,jpmorgan,bank financial service,general operations management,mumbai city,management information systems root cause market data global team cost save test strategy reference data data migration data integrity data solutions,OperationalMgmtSW
378,ernst   young,bank financial service,finance account tax,mumbai city,business process management enterprise risk enterprise risk management internal audit risk management risk assurance business process risk advisory problem solve service delivery code of conduct statements of work sow,OperationalMgmtSW
379,ernst   young,bank financial service,operations management process analysis,mumbai city,internal audit mis accountancy sales enterprise risk management data analytics enterprise risk leadership skills red flag risk management standard operate procedures sox 404 revenue assurance finance ltd,OperationalMgmtSW
380,ernst   young,bank financial service,risk underwrite,mumbai city,sox 404 red flag enterprise risk management risk management standard operate procedures revenue assurance data analytics internal audit enterprise risk,OperationalMgmtSW
387,ernst   young,bank financial service,audit,mumbai city,sql sales enterprise risk management sap delivery music make standard operate procedures customer relations item response theory statements of work sow,OperationalMgmtSW
389,ernst   young,bank financial service,sales bd,mumbai city,government finance process management project evaluation system development financial model market ppp policy development advisory service,OperationalMgmtSW
395,jpmorgan,bank financial service,site engineer project management,mumbai city,fix income project management front end java data analysis delivery hedge fund trade support customer relations data science report agile project management user stories,OperationalMgmtSW
397,jpmorgan,bank financial service,operations management process analysis,mumbai city,swift account report sla aml proxy vote drive change middle office fund service asset service claim management investment bank financial service payment process strategic think,OperationalMgmtSW
424,fidelity investments,bank financial service,general other software,bangalore,finance sales mis accountancy hr operations solution design human resources financial service program management talent development strategic leadership,OperationalMgmtSW
427,jpmorgan,bank financial service,finance account tax,bangalore,data entry data management research data collection program people management skills new age time management global strategy microsoft office statements of work sow,OperationalMgmtSW
433,ernst   young,bank financial service,general other software,bangalore,project team big data annual report global delivery team build senior management advisory service it advisory agile development digital conversion oral communication,OperationalMgmtSW
437,jpmorgan,bank financial service,risk underwrite,bangalore,use case map source data quality data analysis risk management data management microsoft excel problem solve data governance data dictionary data stewardship business analysis,OperationalMgmtSW
439,ernst   young,bank financial service,architecture,bangalore,digital conversion resource management global delivery big data advisory service senior management project team annual report presentation skills agile development it advisory oral communication team build,OperationalMgmtSW
441,ernst   young,bank financial service,general other software,bangalore,environment java big data global delivery delivery project team annual report agile development customer relations it advisory sales team build,OperationalMgmtSW
447,jpmorgan,bank financial service,general operations management,bangalore  hyderabad,ms outlook middle office problem solve time management management skills financial market financial analysis process automation write communication performance measurement,OperationalMgmtSW
451,jpmorgan,bank financial service,general other software,bangalore,core java web service global sales elastic search risk management test automation client service agile development commercial model healthy lifestyle information technology,OperationalMgmtSW
453,jpmorgan,bank financial service,finance account tax,bangalore,cash flow analysis credit risk analysis cash flow credit risk risk analysis middle market credit analysis analysis report corporate finance stakeholder management financial justification credit transactions financial analsis,OperationalMgmtSW
458,jpmorgan,bank financial service,statistics analytics,bangalore,swift account report sla aml life cycle global team record keep fund account asset service time management microsoft office management skills control framework securities market financial service,OperationalMgmtSW
459,jpmorgan,bank financial service,operations management process analysis,bangalore,project management automation cost control delivery ltd data quality issue management metrics report cdo metrics security business analysis report dashboard ownership management performance,OperationalMgmtSW
466,jpmorgan,bank financial service,operations management process analysis,bangalore,high sense of urgency ms office people skills change control analytical skills quality standards project management process improvement business requirements statements of work sow,OperationalMgmtSW
467,state street corporation,bank financial service,statistics analytics,bangalore,customer relations report basis account research music make risk management federal reserve model validation technical analysis oral communication,OperationalMgmtSW
474,state street corporation,bank financial service,general other software,bangalore,strong interpersonal skills front end life cycle back office it project global team middle office system design project plan problem solve project plan project managers technical support statements of work sow,OperationalMgmtSW
478,northern trust,bank financial service,general other software,bangalore,internal audit account account financial statements compliance field work core bank project team data analytics audit plan asset service time management emerge trend,OperationalMgmtSW
482,northern trust,bank financial service,risk underwrite,bangalore,sales customer relations sla quality coach credit risk project plan risk analytics external audit liquidity risk problem solve impact analysis senior management analytical skills,OperationalMgmtSW
483,northern trust,bank financial service,dba datawarehousing,bangalore,data quality data governance change management senior management project management quality improvement organization skills quality initiatives,OperationalMgmtSW
489,jpmorgan,bank financial service,general other software,bangalore,test tool mis report cross border test strategy ms office inventory system project delivery asset management business control problem solve human resources reference data,OperationalMgmtSW
490,jpmorgan,bank financial service,statistics analytics,bangalore,business process review data flow data science data analysis process design small business process review business loan data governance machine learn business process technical skills personal bank,OperationalMgmtSW
500,jpmorgan,bank financial service,operations management process analysis,bangalore,software development life cycle report tool estate management microsoft project project management investment bank financial report business management software development technology leadership,OperationalMgmtSW
502,jpmorgan,bank financial service,statistics analytics,bangalore,customer relations report mis sla account item response theory front office new business train need quality control time management information flow,OperationalMgmtSW
506,jpmorgan,bank financial service,general other software,bangalore,service improvement expense management access management time management microsoft office internal audit client service asset management,OperationalMgmtSW
513,jpmorgan,bank financial service,finance account tax,bangalore  chennai  hyderabad  kolkata  pune  mumbai city  delhi  ahmedabad,financial service ad hoc report financial result special project key metrics financial plan problem solve quality initiatives performance metrics financial control financial analysis variance analysis data quality,OperationalMgmtSW
515,state street corporation,bank financial service,sbu head ceo director,bangalore,finance risk report bank compliance subject matter expertise music make high pressure fee schedule client bill achieve global robust control trust service asset management,OperationalMgmtSW
516,state street corporation,bank financial service,sbu head ceo director,bangalore,finance risk report bank compliance red flag music make high pressure client bill problem solve microsoft office project management financial service client satisfaction,OperationalMgmtSW
517,state street corporation,bank financial service,operations management process analysis,bangalore,music make high pressure data analytics process design business units annual review data management problem solve cost management microsoft office hyperion essbase variance analysis statements of work sow,OperationalMgmtSW
518,state street corporation,bank financial service,operations management process analysis,bangalore,subject matter expertise music make high pressure client bill achieve global robust control trust service bill process asset management microsoft office financial service control environment compatibility test,OperationalMgmtSW
519,state street corporation,bank financial service,operations management process analysis,bangalore,music make high pressure client bill trust service bill process customer support asset management microsoft office issue resolution financial service it set word excel trust drive access finance,OperationalMgmtSW
520,state street corporation,bank financial service,operations management process analysis,bangalore,finance sales ltd mis accountancy strong communication skills flow chart high pressure risk management problem solve microsoft office operational risk critical think financial service control environment,OperationalMgmtSW
521,state street corporation,bank financial service,operations management process analysis,bangalore,sales mis account tat bank strong communication skills music make high pressure drive result fee schedule client bill business units trust service data collection problem solve line management,OperationalMgmtSW
522,state street corporation,bank financial service,finance account tax,bangalore,strong communication skills ms office flow chart high pressure risk management problem solve process map microsoft office operational risk,OperationalMgmtSW
523,state street corporation,bank financial service,finance account tax,bangalore,strong communication skills data quality music make high pressure drive result fee schedule client bill business units data collection statements of work sow,OperationalMgmtSW
526,state street corporation,bank financial service,operations management process analysis,bangalore,finance risk report bank compliance subject matter expertise music make high pressure client bill problem solve bill process microsoft office project management statements of work sow,OperationalMgmtSW
527,state street corporation,bank financial service,operations management process analysis,bangalore,sales mis account tat bank strategic decision support strong communication skills music make high pressure drive result data analytics process design business units statements of work sow,OperationalMgmtSW
528,jpmorgan,bank financial service,risk underwrite,bangalore,root cause analysis root cause data mine data model data quality data map auto finance data analysis business rule data profile data integrity,OperationalMgmtSW
530,state street corporation,bank financial service,operations management process analysis,bangalore,sales mis account tat bank music make high pressure client bill trust service bill process customer support asset management microsoft office issue resolution financial service,OperationalMgmtSW
531,state street corporation,bank financial service,operations management process analysis,bangalore,strong communication skills flow chart high pressure risk management problem solve microsoft office operational risk critical think financial service control environment communication skills,OperationalMgmtSW
532,state street corporation,bank financial service,operations management process analysis,bangalore,strong communication skills music make high pressure drive result fee schedule client bill business units trust service data collection problem solve line management asset management microsoft office,OperationalMgmtSW
533,state street corporation,bank financial service,operations management process analysis,bangalore,music make high pressure client bill trust service bill process customer support asset management microsoft office issue resolution financial service it set word excel trust drive access finance,OperationalMgmtSW
534,state street corporation,bank financial service,operations management process analysis,bangalore,sales mis account tat bank strategic decision support strong communication skills integrate development environments music make high pressure drive result data analytics statements of work sow,OperationalMgmtSW
535,total system,bank financial service,statistics analytics,bangalore  chennai  hyderabad  kolkata  pune  mumbai city  ahmedabad,basis customer relations leadership qc workflow web crawl financial risk database tool credit report credit analysis human resources senior management credit management,OperationalMgmtSW
536,standard chartered bank ltd,bank financial service,finance account tax,bangalore,data quality balance sheet due diligence microsoft excel complex analysis analytical skills variance analysis analytical review financial analysis external report financial report regulatory report,OperationalMgmtSW
539,ernst   young,bank financial service,general other software,bangalore,front end data analytics cloud compute data structure problem solve client service computer science operate systems distribute team internet service career development,OperationalMgmtSW
542,investcode private limited,bank financial service,general other software,bangalore,machine learn python data analysis sql analytics time series analysis time series data science deep learn problem solve outcome focus network analysis computer languages think leadership product development resource management verbal communication statistical concepts optimization strategies ml,OperationalMgmtSW
543,morgan stanley advantage services pvt  ltd ,bank financial service,sbu head ceo director,bangalore,market sales business development management finance identity access management access control business units trade systems active directory security systems wealth management,OperationalMgmtSW
545,jpmorgan,bank financial service,finance account tax,bangalore,big data risk model data research knowledge base computer science machine learn model development commercial model financial service behavioral train write communication,OperationalMgmtSW
546,jpmorgan,bank financial service,general other software,bangalore,net acceptance test account apache webserver application architecture big data team spirit general ledger global finance risk management human resources software development,OperationalMgmtSW
548,ig infotech,bank financial service,architecture,bangalore,sql server net java j2ee framework data quality oracle rdbms clear vision data service data profile data governance change management think leadership gain commitment platform architecture,OperationalMgmtSW
549,jpmorgan,bank financial service,general other software,bangalore,business process review data flow data science data analysis process design small business process review business loan data governance machine learn,OperationalMgmtSW
554,ernst   young,bank financial service,dba datawarehousing,bangalore,sql data analysis microsoft excel customer relations report strong communication skills business intelligence tool data flow data model data warehouse customer support google analytics,OperationalMgmtSW
563,ernst   young,bank financial service,erp crm,bangalore,sap customer relations delivery sales sql sap solution architecture oo abap master data music make data migration problem solve advisory service,OperationalMgmtSW
566,ernst   young,bank financial service,finance account tax,bangalore,power bi life cycle it service service delivery project delivery interpersonal skills it excel demand finance cost metrics business strategy analysis expense,OperationalMgmtSW
568,ernst   young,bank financial service,statistics analytics,bangalore,power bi web analytics business rule text analytics data management data structure machine learn agile methodologies statistical model,OperationalMgmtSW
569,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,supply chain risk management data extraction operational risk financial market foundation certify personal responsibility it sql css set ctm risk turn cloud basic brand visit supply ethics,OperationalMgmtSW
571,jpmorgan,bank financial service,statistics analytics,bangalore,customer relations documentation requirements functional business requirements user acceptance test business impact analysis test case music make data collection statements of work sow,OperationalMgmtSW
576,jpmorgan,bank financial service,finance account tax,bangalore,gap analysis customer relations data quality market risk basis report account data analysis sla user acceptance test root cause analysis root cause,OperationalMgmtSW
577,state street corporation,bank financial service,sbu head ceo director,bangalore,ms office experience business analyst ms access office skills self service data quality service delivery test case ms project mis development problem solve,OperationalMgmtSW
582,jpmorgan,bank financial service,statistics analytics,bangalore,sql data analysis microsoft excel customer relations report new age time management global strategy microsoft office account service think leadership client requirements statements of work sow,OperationalMgmtSW
584,jpmorgan,bank financial service,operations management process analysis,bangalore,ms office data mine advance excel data analytics time management operational risk senior management management skills control framework interpret data financial service compliance report,OperationalMgmtSW
585,jpmorgan,bank financial service,operations management process analysis,bangalore,subject matter expertise environmental impact assessment root cause supply chain drive change music make control design risk management process map risk mitigation asset management microsoft office,OperationalMgmtSW
587,jpmorgan,bank financial service,sbu head ceo director,bangalore,project management automation cost control delivery ltd life cycle entry level global team record keep fund account asset service time management microsoft office management skills,OperationalMgmtSW
588,jpmorgan,bank financial service,sbu head ceo director,bangalore,market sales business development management finance ms office process flow music make service level team cohesion trend analysis problem solve career plan business write staff management,OperationalMgmtSW
601,jpmorgan,bank financial service,general other software,bangalore,java academics acp algorithms android big data web service product design sla management load balance quality control shell script problem solve,OperationalMgmtSW
602,ernst   young,bank financial service,operations management process analysis,bangalore,sap customer relations delivery sales sql data migration leadership skills advisory service behavioral train technical consultancy technical architecture client service tax cloud offer finance balance train,OperationalMgmtSW
603,ernst   young,bank financial service,general other software,bangalore,front end data analytics service design cloud compute data structure problem solve web application design pattern client service computer science operate systems distribute team internet service,OperationalMgmtSW
605,jpmorgan,bank financial service,general other software,bangalore,search engines aml data collection music make lotus note microsoft office kyc middle office bank risk customer service client profile,OperationalMgmtSW
608,jpmorgan,bank financial service,site engineer project management,bangalore,communication skills requirements gather project management java fix income delivery project risk account service report product management customer relations reference data,OperationalMgmtSW
609,jpmorgan,bank financial service,market communication,bangalore,change management market data product knowledge management review test scenarios life cycle senior management gap analysis trade support time management business analysis global investment,OperationalMgmtSW
610,jpmorgan,bank financial service,operations management process analysis,bangalore,ms office continuous process improvement product specialists middle office customer relationship client account process improvement front office customer relationship management continuous process statements of work sow,OperationalMgmtSW
612,jpmorgan,bank financial service,general other software,bangalore,daily report sql query advance excel power bi key management senior management technical skills ms access statements of work sow,OperationalMgmtSW
