,Company_Name,Industry,Department,Location,Skills,ClusterLabel
510,jpmorgan,bank financial service,web mobile technologies,bangalore,java sql javascript sql server jquery software lifecycle management environmental impact assessment spring mvc life cycle spring boot unit test private bank team management,TestAutomation
511,jpmorgan,bank financial service,general other software,bangalore,javascript risk management sql server jquery sql global finance agile application development version control tool high performance compute small business knowledge base java model design,TestAutomation
512,jpmorgan,bank financial service,general other software,bangalore,javascript html 5 client side jquery hedge fund css unit test front end spring boot web service user interface design html private bank fix income ab test,TestAutomation
514,jpmorgan,bank financial service,general other software,bangalore,mission critical release management big data javascript sql server sql automation tool think big jquery change management java life cycle system architecture agile development service level commercial model,TestAutomation
540,morgan stanley advantage services pvt  ltd ,bank financial service,sales bd,bangalore  japan,sql sql server mysql database administration customer relations life cycle fix income global team foreign exchange trade process statements of work sow,TestAutomation
544,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle problem solve affirmative action software development communication skills software engineer creative solutions,TestAutomation
551,nasdaq,bank financial service,general other software,bangalore,sql server javascript jquery html sql detail design web application technical design database query business solutions performance test software development technology solutions information management,TestAutomation
557,ernst   young,bank financial service,general other software,bangalore,java environment sql server sql customer relations scalable web applications use case front end unit test visual studio high pressure active directory web applications,TestAutomation
570,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle business analysis technology trend software development software engineer ios design creative solutions,TestAutomation
580,jpmorgan,bank financial service,general other software,bangalore,big data javascript java sql server sql strong interpersonal skills machine learn equipment supply small business product design sales order order management low latency jquery,TestAutomation
583,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery project life cycle big data core java life cycle spring boot web service data quality sales process design pattern project plan spring framework project managers java performance,TestAutomation
586,jpmorgan,bank financial service,sales bd,bangalore,sql sql server mysql database administration customer relations software development life cycle code review data analytics business process software development creative solutions,TestAutomation
590,fidelity investments,bank financial service,general other software,bangalore,jquery java mvc sql server customer relations test drive development front end hedge fund spring batch unit test product vision shell script computer science pair program,TestAutomation
597,ernst   young,bank financial service,general other software,bangalore,sql java customer relations sap documentation raspberry pi data extraction process control plant automation leadership skills advisory service software solutions,TestAutomation
604,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle data flow data map technology trend software development software engineer ibm mq mq etl jms jpa creative solutions,TestAutomation
607,jpmorgan,bank financial service,operations management process analysis,bangalore,database design schedule tool sql server data science ms sql server sql query java control m computer science delivery ms sql data extraction solution design telecom service center oss data model,TestAutomation
611,jpmorgan,bank financial service,general other software,bangalore,python spring boot hive java test case small business user experience hadoop data structure private bank private bank big data sqoop core java,TestAutomation
613,jpmorgan,bank financial service,general other software,bangalore,environment amazon web service sql server java big data jquery dynamo db unit test problem solve design pattern web service music make sql,TestAutomation
617,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery big data web service sla management load balance quality control shell script problem solve computer science application design,TestAutomation
620,jpmorgan,bank financial service,general other software,bangalore,big data sql server data model java servlets reference data contact center data management problem solve computer science machine learn team development agile development financial control critical think,TestAutomation
622,jpmorgan,bank financial service,general other software,bangalore,project management automation cost control delivery ltd software development life cycle build tool unit test version control technology trend software development software engineer creative solutions,TestAutomation
652,nasdaq,bank financial service,general other software,bangalore,core java spring boot unit test digital assets web application computer science technical design functional test performance test product development software development,TestAutomation
653,ernst   young,bank financial service,general other software,bangalore,subject matter experts technical subject matter sql server sql database spatial data web analytics data model human capital data analytics,TestAutomation
671,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore  japan,software development life cycle root cause analysis core java test data root cause data center test suit service desk unix script knowledge base problem solve fault tolerance,TestAutomation
684,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,ibm db2 core java api test build tool web service computer science data integration wealth management techno functional investment bank financial service software development database development,TestAutomation
691,ernst   young,bank financial service,general other software,bangalore,ms sql server subject matter experts technical subject matter ms sql big data power bi sql server sql database data model human capital data analytics database design store procedures architectural design,TestAutomation
710,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle front end spring boot web development cod practice business analysis software development creative solutions,TestAutomation
768,morgan stanley advantage services pvt  ltd ,bank financial service,web mobile technologies,bangalore,sql server fix income unit test client server legacy systems trade process wealth management agile development techno functional investment bank financial service,TestAutomation
781,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle business analysis technology trend software development software engineer design software business analysis innovation creative solutions,TestAutomation
784,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle software development methodologies core java open source build tool unit test system design spring framework,TestAutomation
788,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery unix shell script etl tool shell script oracle database problem solve data warehouse schedule tool quality assurance financial service,TestAutomation
789,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery core java defect analysis ui axe aria cloud design mobile test selenium software analysis maintenance architecture infrastructure,TestAutomation
794,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle unix shell script strong analytical skills auto finance business rule write skills risk management shell script microsoft office,TestAutomation
796,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle unix shell script strong analytical skills auto finance business rule write skills risk management shell script microsoft office issue management,TestAutomation
799,ig infotech,bank financial service,general other software,bangalore,java jquery sql server sql environment test drive development java ee core java spring boot unit test project team it development project delivery application server project administration it api jms git,TestAutomation
805,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery test automation tool strong analytical skills sap hana core data unit test data model data service problem solve post production test automation,TestAutomation
808,ernst   young,bank financial service,general other software,bangalore,techno functional java sql ms sql sql query client requirements business requirements sql db2 performance management project management db2 set music make soap,TestAutomation
827,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle unix shell script strong analytical skills auto finance business rule write skills risk management shell script microsoft office issue management,TestAutomation
829,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,java mysql jsp hibernate spring web service development business process management business intelligence report java ee core java shell script data management problem solve technical design agile development,TestAutomation
836,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery peer review cyber security risk management asset management technical design production support software development technology management project administration,TestAutomation
838,ernst   young,bank financial service,general other software,bangalore,front end use case sql query unit test high pressure data structure problem solve quality systems agile methodology technology consult microsoft technologies application architecture c sql api aws,TestAutomation
843,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery test drive development version control spring framework business analysis software engineer program languages application program agile test design spring,TestAutomation
844,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery test drive development version control spring framework software quality business analysis functional test software engineer program languages application program,TestAutomation
850,jpmorgan,bank financial service,embed system software,bangalore,software development life cycle business analysis technology trend software development software engineer design software business analysis creative solutions,TestAutomation
853,ernst   young,bank financial service,general other software,bangalore,visual basic for applications sql server report service subject matter experts strong analytical skills technical subject matter sql server visual basic sql database pivot table data model human capital data analytics,TestAutomation
855,jpmorgan,bank financial service,general other software,bangalore,spring boot collection framework garbage collection application program core java spring integration software engineer design pattern business analysis user acceptance,TestAutomation
856,fidelity investments,bank financial service,embed system software,bangalore,java sql javascript sql server jquery project life cycle front end spring mvc life cycle open source server side scrum master large group system design,TestAutomation
858,jpmorgan,bank financial service,service installation repair,bangalore,academics big data change management service level acp agile development automation tool algorithms mission critical think big java life cycle android,TestAutomation
865,jpmorgan,bank financial service,general other software,bangalore,test data test case spring boot test design core bank music make data profile data management bank software technical skills functional requirements financial justification,TestAutomation
866,jpmorgan,bank financial service,general other software,bangalore,web service javascript project management small business java concurrency sql java java ee jquery computer science investment bank business bank problem solve sql server spring boot,TestAutomation
867,jpmorgan,bank financial service,general other software,bangalore,mobile applications java software development sql server sql spectrum management distribute team digital conversion javascript communication skills jquery regression test,TestAutomation
884,goldman sachs,bank financial service,general other software,bangalore,java sql javascript sql server jquery straight through process big data low latency new business apache spark team build data solutions risk management,TestAutomation
886,goldman sachs,bank financial service,general other software,bangalore,java sql javascript sql server jquery straight through process big data low latency new business apache spark team build data solutions risk management unit operations high throughput machine learn,TestAutomation
887,jpmorgan,bank financial service,general other software,bangalore,java mysql jsp hibernate spring test drive development software development methodologies big data open source level design advance java reference data version control machine learn web 20,TestAutomation
888,goldman sachs,bank financial service,general other software,bangalore,java sql javascript sql server jquery straight through process big data low latency new business apache spark team build data solutions risk management unit operations machine learn,TestAutomation
894,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,unit test microsoft sql server baggage handle systems post production environmental impact assessment software design sql server qa test music make design pattern software design pattern test case,TestAutomation
896,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,web service solid principles java spring wealth management core java mysql solution design hibernate test automation jsp computer science ab test,TestAutomation
899,jpmorgan,bank financial service,web mobile technologies,bangalore,java sql javascript sql server jquery software development life cycle core java oracle database design pattern spring framework business analysis technology trend software development software engineer creative solutions,TestAutomation
915,jpmorgan,bank financial service,technical support helpdesk,bangalore,big data think skills daily operations cod languages critical think application support software development program languages sql risk design test software addition operations monitor,TestAutomation
918,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle core java spring boot spring data unit test apache kafka search engine spring security problem solve,TestAutomation
933,dbs asia hub 2,bank financial service,general other software,bangalore  chennai  hyderabad  kolkata  pune  mumbai city  delhi  ahmedabad,javascript css jquery html mysql spring boot level design retail bank user experience sprint plan cod standards quality standards software development ml dbs git java risk cloud,TestAutomation
934,dbs asia hub 2,bank financial service,sbu head ceo director,bangalore  chennai  hyderabad  kolkata  pune  mumbai city  ahmedabad,finance risk report bank compliance test management tool core java black box test case test script test scenarios test management web application test automation automation tool,TestAutomation
946,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle ms office spring boot sql query web service unit test visual studio service layer data exchange windows server small business,TestAutomation
951,standard chartered bank ltd,bank financial service,general other software,bangalore,software development life cycle user acceptance test manual functional test test data test case life cycle test suit test script zero defect test tool test strategy statements of work sow,TestAutomation
962,pricewaterhousecoopers  pwc ,bank financial service,architecture,bangalore,scrum master global delivery spring mvc manage client expectations spring boot application design process quality business development database systems cost effective software development user stories,TestAutomation
966,first american  india ,bank financial service,operations management process analysis,bangalore,java jquery sql customer relations javascript software development life cycle ms sql back office fortune 500 web service soa service soa governance problem solve title insurance statements of work sow,TestAutomation
